Borough,,GuestPolarity,,,,,,,GuestSubjectivity,,,,,,,,HostPolarity,,,,,,,,HostSubjectivity,,,,,,,,Experience Distribution Count,,,,,,,,,
,Review Count,mean,std,min,25%,50%,75%,max,Review Count,mean,std,min,25%,50%,75%,max,Review Count,mean,std,min,25%,50%,75%,max,Review Count,mean,std,min,25%,50%,75%,max,none,business,social,family,romantic,,,,,
Barking and Dagenham,1252,0.335933336,0.256562893,-0.9,0.154242424,0.35,0.5,1,1252,0.53514782,0.276797935,0,0.454103535,0.6,0.722222222,1,1252,0.192452353,0.223998979,0,0,0.116666667,0.36875,0.6,1252,0.328883383,0.238788861,0,0,0.37016317,0.55,0.7,1206,2,44,0,0,,,,,
Barnet,12912,0.374061774,0.229534921,-1,0.25,0.383333333,0.5,1,12912,0.572839377,0.24028459,0,0.5,0.6125,0.722222222,1,12912,0.19001024,0.176658663,-0.2,0,0.1625,0.302777778,0.8,12912,0.396719609,0.260322602,0,0.275,0.428373016,0.547435897,1,12272,399,29,104,108,,,,,
Bexley,1171,0.388624675,0.235319817,-1,0.262797619,0.4,0.525,1,1171,0.583903776,0.244743747,0,0.505555556,0.633333333,0.741666667,1,1171,0.222371735,0.135945176,-0.063333333,0.182936508,0.215625,0.288888889,0.5,1171,0.401186812,0.183826173,0,0.376984127,0.45,0.5,0.75,1077,94,0,0,0,,,,,
Brent,33523,0.352358607,0.241850812,-1,0.207407407,0.366666667,0.5,1,33523,0.54728613,0.262232823,0,0.475,0.6,0.7125,1,33523,0.229542421,0.177067677,-0.25,0.059090909,0.243333333,0.375,1,33523,0.392669102,0.225431087,0,0.325,0.428373016,0.533333333,1,31559,305,620,800,239,,,,,
Bromley,5236,0.383621463,0.23146653,-0.8,0.2625,0.39375,0.522222222,1,5236,0.572572747,0.247074866,0,0.5,0.618333333,0.729002193,1,5236,0.186538584,0.158942854,-0.0425,0,0.1875,0.306802721,0.766666667,5236,0.365666914,0.22890636,0,0.235555556,0.423787879,0.515555556,0.9,5018,37,62,77,42,,,,,
Camden,93700,0.3573825,0.232466491,-1,0.222619048,0.366666667,0.5,1,93700,0.549833349,0.245888699,0,0.475,0.594166667,0.7,1,93700,0.192621829,0.180927062,-0.4,0,0.183333333,0.308727679,1,93700,0.349542907,0.252164764,0,0,0.3975,0.530833333,1,81555,2429,5585,3192,939,,,,,
City of London,6804,0.357697177,0.237203046,-1,0.21224026,0.360416667,0.5,1,6804,0.54629489,0.243282878,0,0.464456845,0.582614087,0.7,1,6804,0.207325838,0.176597001,-0.1,0,0.216666667,0.325595238,1,6804,0.332814486,0.246048267,0,0,0.4125,0.514880952,1,5960,667,0,53,124,,,,,
Croydon,7367,0.376981603,0.229176779,-0.9,0.249112812,0.385333333,0.516666667,1,7367,0.57328701,0.248580103,0,0.5,0.620378788,0.733333333,1,7367,0.168792147,0.17264188,-0.1,0,0.177777778,0.262865646,1,7367,0.339476827,0.258273221,0,0,0.402913753,0.508333333,1,6940,30,275,122,0,,,,,
Ealing,23782,0.380686003,0.228007533,-1,0.255636837,0.3875,0.513888889,1,23782,0.581018987,0.235435992,0,0.503137401,0.619047619,0.727777778,1,23782,0.142334272,0.168056445,-0.4,0,0.128333333,0.275,0.85,23782,0.30339079,0.239898206,0,0,0.366666667,0.476470588,1,22930,99,115,637,1,,,,,
Enfield,5240,0.379564679,0.236007645,-1,0.249747621,0.388888889,0.522222222,1,5240,0.574783093,0.245985066,0,0.5,0.61780102,0.733333333,1,5240,0.147932885,0.155881275,-0.4,0,0.115757576,0.25,0.716666667,5240,0.343728398,0.223540814,0,0.240416667,0.381175595,0.4875,0.966666667,4945,285,10,0,0,,,,,
Greenwich,16576,0.389381721,0.222544502,-0.9,0.26937415,0.4,0.520606061,1,16576,0.584274713,0.234889156,0,0.506666667,0.62375,0.733333333,1,16576,0.198168883,0.176195705,-0.3875,0,0.193141946,0.35,0.85,16576,0.386741248,0.241655974,0,0.257857143,0.433333333,0.575,1,15821,567,34,144,10,,,,,
Hackney,65777,0.379265098,0.216352936,-1,0.266666667,0.388888889,0.502083333,1,65777,0.573688827,0.229682213,0,0.503571429,0.610833333,0.7125,1,65777,0.235972497,0.196373984,-0.3,0,0.253125,0.365789474,1,65777,0.406207822,0.251073587,0,0.270833333,0.471180556,0.572916667,1,56742,3393,3747,1196,699,,,,,
Hammersmith and Fulham,56404,0.363914961,0.226130853,-1,0.240059524,0.372222222,0.5,1,56404,0.561128686,0.240911603,0,0.49,0.6,0.70836039,1,56404,0.210698773,0.182038068,-0.4,0.03,0.215,0.333333333,1,56404,0.397926559,0.235165943,0,0.291666667,0.439719888,0.555,1,47502,4091,2480,1671,660,,,,,
Haringey,25513,0.376071674,0.226790491,-1,0.26,0.388888889,0.505555556,1,25513,0.571535546,0.244245041,0,0.5,0.617058824,0.725,1,25513,0.222692494,0.212392104,-0.128571429,0,0.191666667,0.342857143,1,25513,0.391974127,0.249329698,0,0.286111111,0.417171717,0.559375,1,22730,810,1181,742,50,,,,,
Harrow,4458,0.398836713,0.225796958,-0.75,0.28130787,0.4,0.533333333,1,4458,0.593610227,0.229018249,0,0.516666667,0.628,0.74,1,4458,0.195305233,0.208071922,-0.008333333,0,0.133333333,0.368333333,0.7,4458,0.331454582,0.272013552,0,0,0.39537037,0.55,1,4076,176,204,2,0,,,,,
Havering,1209,0.413303122,0.237701577,-0.5,0.275,0.40547619,0.566666667,1,1209,0.601599059,0.23278304,0,0.5125,0.636666667,0.75,1,1209,0.157422169,0.161745759,-0.016666667,0,0.118095238,0.25,0.529761905,1209,0.320776285,0.204514888,0,0.166666667,0.328333333,0.5,0.833333333,1179,0,30,0,0,,,,,
Hillingdon,8823,0.40564311,0.222925462,-0.9,0.283333333,0.408333333,0.54375,1,8823,0.603104617,0.223658681,0,0.52,0.633333333,0.75,1,8823,0.159522591,0.183212328,-0.4,0,0.2,0.256986416,0.65,8823,0.37760898,0.22633201,0,0.308333333,0.419047619,0.536813187,0.833333333,8311,93,413,6,0,,,,,
Hounslow,13367,0.401191865,0.219582918,-1,0.281222003,0.401388889,0.53,1,13367,0.602970945,0.218335772,0,0.524160562,0.630208333,0.743927369,1,13367,0.221913334,0.207948647,-0.125,0,0.213005051,0.331944444,1,13367,0.383923291,0.271112457,0,0,0.433333333,0.556555556,1,11968,711,199,487,2,,,,,
Islington,69222,0.359560784,0.225475276,-1,0.233333333,0.367948718,0.5,1,69222,0.552324975,0.242491731,0,0.478571429,0.595833333,0.7,1,69222,0.192277649,0.169256162,-0.2625,0,0.186666667,0.3,1,69222,0.359652135,0.225900226,0,0.243506494,0.4040625,0.521,1,61190,2801,1859,2219,1153,,,,,
Kensington and Chelsea,72899,0.366200845,0.230491035,-1,0.233928571,0.3725,0.5,1,72899,0.563990932,0.239292832,0,0.492222222,0.6,0.711111111,1,72899,0.220498486,0.17979804,-0.2,0,0.24375,0.331096681,1,72899,0.404127909,0.260881485,0,0.175,0.476923077,0.605555556,1,66126,2260,931,2246,1336,,,,,
Kingston upon Thames,5354,0.40099636,0.215519606,-1,0.288784722,0.403726852,0.525,1,5354,0.599069144,0.218708598,0,0.524078283,0.631281566,0.734047619,1,5354,0.22117635,0.172005837,-0.05,0,0.25,0.336428571,0.75,5354,0.382158683,0.241567962,0,0.222222222,0.485,0.540740741,0.875,4937,291,4,122,0,,,,,
Lambeth,85123,0.354031213,0.234175633,-1,0.218560606,0.366666667,0.5,1,85123,0.546333292,0.256191088,0,0.475,0.6,0.704166667,1,85123,0.191856424,0.165625255,-0.3,0.008333333,0.1875,0.314393939,0.9,85123,0.379716008,0.225517795,0,0.23,0.432222222,0.536666667,1,76615,2998,3428,1180,902,,,,,
Lewisham,23213,0.358294258,0.225693351,-0.9,0.233766234,0.370833333,0.5,1,23213,0.554792569,0.248947662,0,0.483333333,0.6,0.708333333,1,23213,0.189816334,0.175149495,-0.2,0.003125,0.170833333,0.292857143,0.9,23213,0.363587314,0.225356838,0,0.265734266,0.416666667,0.51208134,1,21469,742,715,225,62,,,,,
Merton,9905,0.405281178,0.218846494,-0.7,0.288888889,0.40625,0.533333333,1,9905,0.598594829,0.223700736,0,0.522727273,0.627638889,0.741666667,1,9905,0.170737883,0.18633972,-0.241666667,0,0.130208333,0.305714286,0.8,9905,0.383242647,0.24835886,0,0.213392857,0.447619048,0.543095238,1,9395,143,190,27,150,,,,,
Newham,22111,0.358904015,0.241976921,-1,0.214663462,0.372,0.5,1,22111,0.557079621,0.256966763,0,0.483333333,0.603125,0.722222222,1,22111,0.169675033,0.169700314,-0.15,0,0.153703704,0.2625,1,22111,0.344601368,0.234245474,0,0.093333333,0.382410714,0.5,1,20607,230,733,538,3,,,,,
Redbridge,6259,0.372885316,0.234565456,-0.75,0.244444444,0.383333333,0.511111111,1,6259,0.569936275,0.247037025,0,0.5,0.6125,0.725,1,6259,0.187508574,0.20971345,-0.19375,0,0.125,0.303333333,0.75,6259,0.323412812,0.273209491,0,0,0.38,0.50212963,1,5832,71,18,338,0,,,,,
Richmond upon Thames,17916,0.418433859,0.209507188,-0.8,0.301388889,0.416666667,0.541666667,1,17916,0.616911419,0.20239934,0,0.535416667,0.6375,0.748645833,1,17916,0.211845925,0.202070365,-0.3,0,0.218055556,0.33125,1,17916,0.406421796,0.24328739,0,0.3,0.452930403,0.558,1,16513,586,301,306,210,,,,,
Southwark,73087,0.352309049,0.232011289,-1,0.218687075,0.366666667,0.5,1,73087,0.545336088,0.255223114,0,0.475,0.6,0.703817016,1,73087,0.204895983,0.175660194,-0.25,0.002272727,0.21,0.318418561,1,73087,0.371063149,0.228837472,0,0.241666667,0.427083333,0.515740741,1,67007,1691,2709,1253,427,,,,,
Sutton,3266,0.406789883,0.229903183,-0.8,0.2875,0.4125,0.543518519,1,3266,0.600419006,0.237541222,0,0.51875,0.637301587,0.75,1,3266,0.274345165,0.177365837,-0.1,0.147619048,0.306666667,0.408333333,0.515,3266,0.417241899,0.211597232,0,0.347222222,0.5,0.513333333,0.825,3013,174,0,0,79,,,,,
Tower Hamlets,101070,0.353304332,0.243010287,-1,0.20625,0.366666667,0.5,1,101070,0.546641956,0.255143355,0,0.473809524,0.6,0.706335227,1,101070,0.213867208,0.188626052,-0.25,0,0.221590909,0.346,1,101070,0.394392768,0.245628706,0,0.2625,0.454389881,0.571794872,1,92710,4160,3159,619,422,,,,,
Waltham Forest,12006,0.363384897,0.224626672,-0.9,0.244444444,0.377506614,0.5,1,12006,0.560178275,0.247384689,0,0.492797619,0.60772873,0.716477273,1,12006,0.220814053,0.187824793,-0.3,0.046428571,0.198026316,0.366666667,0.8,12006,0.396195599,0.235204883,0,0.2375,0.444057971,0.554761905,1,9960,933,1073,40,0,,,,,
Wandsworth,43995,0.380166429,0.225300179,-1,0.262031688,0.391666667,0.511111111,1,43995,0.574042664,0.240905263,0,0.500863095,0.616666667,0.723779762,1,43995,0.187691108,0.187944214,-0.3,0,0.16,0.301298701,1,43995,0.389922313,0.243473172,0,0.236666667,0.452048701,0.55,1,39978,1580,793,1200,444,,,,,
Westminster,120035,0.350570897,0.239844702,-1,0.2,0.357777778,0.5,1,120035,0.540740405,0.254935825,0,0.464583333,0.589223058,0.7,1,120035,0.19150404,0.195974087,-0.5,0,0.175555556,0.325,1,120035,0.372829161,0.247408253,0,0.15625,0.426190476,0.556111111,1,113085,3461,980,1842,667,,,,,